YIL;AY;URETIM_KAYNAGI;URETIM_MIKTARI
2018;8;Gördes Barajı;0
2018;8;Alaçatı Kutlu Aktaş Barajı;652408
2018;8;Güzelhisar Barajı;145205
2018;8;Sarıkız Kuyuları;2957080
2018;8;Menemen - Çavuşköy Kuyuları;1437992
2018;8;Halkapınar Kuyuları;2695770
2018;8;Pınarbaşı Kuyuları;139289
2018;8;Tahtalı Barajı;8359800
2018;8;Balçova Barajı;1071240
2018;8;Ürkmez Barajı;223649
2018;8;Göksu Kuyuları;4435620
2018;7;Göksu Kuyuları;4796805
2018;7;Ürkmez Barajı;216891
2018;7;Balçova Barajı;974000
2018;7;Tahtalı Barajı;8540400
2018;7;Pınarbaşı Kuyuları;141700
2018;7;Halkapınar Kuyuları;2646420
2018;7;Menemen - Çavuşköy Kuyuları;1302048
2018;7;Sarıkız Kuyuları;2582895
2018;7;Güzelhisar Barajı;122385
2018;7;Alaçatı Kutlu Aktaş Barajı;620177
2018;7;Gördes Barajı;0
2018;7;Buca ve Sarnıç Kuyuları;0
2018;7;Ödemiş İçme Suyu Arıtma Tesisleri;116594
2018;6;Ödemiş İçme Suyu Arıtma Tesisleri;178584
2018;6;Buca ve Sarnıç Kuyuları;0
2018;6;Gördes Barajı;0
2018;6;Alaçatı Kutlu Aktaş Barajı;418610
2018;6;Güzelhisar Barajı;143483
2018;6;Sarıkız Kuyuları;2050000
2018;6;Menemen - Çavuşköy Kuyuları;1305568
2018;6;Halkapınar Kuyuları;2527470
2018;6;Pınarbaşı Kuyuları;120784
2018;6;Tahtalı Barajı;8534600
2018;6;Balçova Barajı;466340
2018;6;Ürkmez Barajı;144856
2018;6;Göksu Kuyuları;4598700
2018;5;Göksu Kuyuları;5005000
2018;5;Ürkmez Barajı;104932
2018;5;Balçova Barajı;345420
2018;5;Tahtalı Barajı;8373500
2018;5;Pınarbaşı Kuyuları;120322
2018;5;Halkapınar Kuyuları;2600130
2018;5;Menemen - Çavuşköy Kuyuları;1406192
2018;5;Sarıkız Kuyuları;2201000
2018;5;Güzelhisar Barajı;127386
2018;5;Alaçatı Kutlu Aktaş Barajı;609206
2018;5;Gördes Barajı;0
2018;5;Buca ve Sarnıç Kuyuları;0
2018;5;Ödemiş İçme Suyu Arıtma Tesisleri;334848
2018;4;Ödemiş İçme Suyu Arıtma Tesisleri;447144
2018;4;Buca ve Sarnıç Kuyuları;0
2018;4;Gördes Barajı;0
2018;4;Alaçatı Kutlu Aktaş Barajı;532829
2018;4;Güzelhisar Barajı;131436
2018;4;Sarıkız Kuyuları;2200600
2018;4;Menemen - Çavuşköy Kuyuları;1211664
2018;4;Halkapınar Kuyuları;2515150
2018;4;Pınarbaşı Kuyuları;121788
2018;4;Tahtalı Barajı;7591000
2018;4;Balçova Barajı;63120
2018;4;Ürkmez Barajı;79044
2018;4;Göksu Kuyuları;5027000
2018;3;Göksu Kuyuları;5280500
2018;3;Ürkmez Barajı;74399
2018;3;Balçova Barajı;0
2018;3;Tahtalı Barajı;7352500
2018;3;Pınarbaşı Kuyuları;127336
2018;3;Halkapınar Kuyuları;2561120
2018;3;Menemen - Çavuşköy Kuyuları;995920
2018;3;Sarıkız Kuyuları;2101000
2018;3;Güzelhisar Barajı;147647
2018;3;Alaçatı Kutlu Aktaş Barajı;439171
2018;3;Gördes Barajı;0
2018;3;Buca ve Sarnıç Kuyuları;0
2018;3;Ödemiş İçme Suyu Arıtma Tesisleri;410876
2018;2;Ödemiş İçme Suyu Arıtma Tesisleri;353348
2018;2;Buca ve Sarnıç Kuyuları;0
2018;2;Gördes Barajı;0
2018;2;Alaçatı Kutlu Aktaş Barajı;292637
2018;2;Güzelhisar Barajı;148032
2018;2;Sarıkız Kuyuları;1891000
2018;2;Menemen - Çavuşköy Kuyuları;930056
2018;2;Halkapınar Kuyuları;2296640
2018;2;Pınarbaşı Kuyuları;122762
2018;2;Tahtalı Barajı;6653800
2018;2;Balçova Barajı;0
2018;2;Ürkmez Barajı;63298
2018;2;Göksu Kuyuları;4720000
2018;1;Göksu Kuyuları;5200000
2018;1;Tahtalı Barajı;7329295
2018;1;Ürkmez Barajı;73211
2018;1;Balçova Barajı;0
2018;1;Pınarbaşı Kuyuları;133573
2018;1;Buca ve Sarnıç Kuyuları;0
2018;1;Halkapınar Kuyuları;2602462
2018;1;Menemen - Çavuşköy Kuyuları;879592
2018;1;Güzelhisar Barajı;185524
2018;1;Sarıkız Kuyuları;2155600
2018;1;Alaçatı Kutlu Aktaş Barajı;283907
2018;1;Gördes Barajı;0
2018;1;Ödemiş İçme Suyu Arıtma Tesisleri;375044
2017;12;Ödemiş İçme Suyu Arıtma Tesisleri;161778
2017;12;Alaçatı Kutlu Aktaş Barajı;267322
2017;12;Menemen - Çavuşköy Kuyuları;814510
2017;12;Halkapınar Kuyuları;2624304
2017;12;Pınarbaşı Kuyuları;115813
2017;12;Buca ve Sarnıç Kuyuları;0
2017;12;Gördes Barajı;0
2017;12;Göksu Kuyuları;5300700
2017;12;Tahtalı Barajı;7420300
2017;12;Balçova Barajı;0
2017;12;Ürkmez Barajı;55164
2017;12;Güzelhisar Barajı;43323
2017;12;Sarıkız Kuyuları;2121000
2017;11;Güzelhisar Barajı;157792
2017;11;Ürkmez Barajı;55509
2017;11;Balçova Barajı;0
2017;11;Tahtalı Barajı;7124200
2017;11;Göksu Kuyuları;5004000
2017;11;Gördes Barajı;0
2017;11;Buca ve Sarnıç Kuyuları;0
2017;11;Pınarbaşı Kuyuları;129739
2017;11;Halkapınar Kuyuları;2530152
2017;11;Menemen - Çavuşköy Kuyuları;1141994
2017;11;Sarıkız Kuyuları;2100500
2017;11;Alaçatı Kutlu Aktaş Barajı;346710
2017;11;Ödemiş İçme Suyu Arıtma Tesisleri;87084
2017;10;Ödemiş İçme Suyu Arıtma Tesisleri;76752
2017;10;Alaçatı Kutlu Aktaş Barajı;400542
2017;10;Menemen - Çavuşköy Kuyuları;1442260
2017;10;Halkapınar Kuyuları;2541888
2017;10;Pınarbaşı Kuyuları;141315
2017;10;Buca ve Sarnıç Kuyuları;0
2017;10;Gördes Barajı;0
2017;10;Göksu Kuyuları;5129885
2017;10;Tahtalı Barajı;7847900
2017;10;Balçova Barajı;215320
2017;10;Ürkmez Barajı;79315
2017;10;Güzelhisar Barajı;172666
2017;10;Sarıkız Kuyuları;2127516
2017;9;Sarıkız Kuyuları;3325060
2017;9;Güzelhisar Barajı;171134
2017;9;Ürkmez Barajı;79315
2017;9;Balçova Barajı;672744
2017;9;Tahtalı Barajı;7983100
2017;9;Göksu Kuyuları;3692928
2017;9;Gördes Barajı;0
2017;9;Buca ve Sarnıç Kuyuları;0
2017;9;Pınarbaşı Kuyuları;148171
2017;9;Halkapınar Kuyuları;2610464
2017;9;Menemen - Çavuşköy Kuyuları;1412788
2017;9;Alaçatı Kutlu Aktaş Barajı;496237
2017;9;Ödemiş İçme Suyu Arıtma Tesisleri;77489
2017;8;Alaçatı Kutlu Aktaş Barajı;637268
2017;8;Ödemiş İçme Suyu Arıtma Tesisleri;90984
2017;8;Menemen - Çavuşköy Kuyuları;1554012
2017;8;Halkapınar Kuyuları;2588224
2017;8;Pınarbaşı Kuyuları;155533
2017;8;Buca ve Sarnıç Kuyuları;0
2017;8;Gördes Barajı;0
2017;8;Tahtalı Barajı;8707400
2017;8;Balçova Barajı;1346280
2017;8;Ürkmez Barajı;187385
2017;8;Güzelhisar Barajı;180610
2017;8;Sarıkız Kuyuları;3475424
2017;8;Göksu Kuyuları;3862976
2017;7;Göksu Kuyuları;3898408
2017;7;Sarıkız Kuyuları;3263692
2017;7;Güzelhisar Barajı;183623
2017;7;Ürkmez Barajı;203050
2017;7;Balçova Barajı;1248859
2017;7;Tahtalı Barajı;8265300
2017;7;Gördes Barajı;0
2017;7;Buca ve Sarnıç Kuyuları;0
2017;7;Pınarbaşı Kuyuları;159934
2017;7;Halkapınar Kuyuları;2525760
2017;7;Menemen - Çavuşköy Kuyuları;1576848
2017;7;Ödemiş İçme Suyu Arıtma Tesisleri;89763
2017;7;Alaçatı Kutlu Aktaş Barajı;651143
2017;6;Alaçatı Kutlu Aktaş Barajı;539353
2017;6;Ödemiş İçme Suyu Arıtma Tesisleri;142301
2017;6;Menemen - Çavuşköy Kuyuları;1334506
2017;6;Halkapınar Kuyuları;2509128
2017;6;Pınarbaşı Kuyuları;131212
2017;6;Buca ve Sarnıç Kuyuları;0
2017;6;Gördes Barajı;0
2017;6;Tahtalı Barajı;7395000
2017;6;Balçova Barajı;1074100
2017;6;Ürkmez Barajı;140622
2017;6;Güzelhisar Barajı;176417
2017;6;Sarıkız Kuyuları;2001920
2017;6;Göksu Kuyuları;4979280
2017;5;Göksu Kuyuları;4893064
2017;5;Sarıkız Kuyuları;2066256
2017;5;Güzelhisar Barajı;177954
2017;5;Ürkmez Barajı;98800
2017;5;Balçova Barajı;718081
2017;5;Tahtalı Barajı;6761200
2017;5;Gördes Barajı;0
2017;5;Buca ve Sarnıç Kuyuları;0
2017;5;Pınarbaşı Kuyuları;144136
2017;5;Halkapınar Kuyuları;2784008
2017;5;Menemen - Çavuşköy Kuyuları;1505314
2017;5;Ödemiş İçme Suyu Arıtma Tesisleri;300527
2017;5;Alaçatı Kutlu Aktaş Barajı;469836
2017;4;Ödemiş İçme Suyu Arıtma Tesisleri;375524
2017;4;Menemen - Çavuşköy Kuyuları;1268154
2017;4;Halkapınar Kuyuları;2568784
2017;4;Pınarbaşı Kuyuları;131436
2017;4;Buca ve Sarnıç Kuyuları;0
2017;4;Gördes Barajı;0
2017;4;Alaçatı Kutlu Aktaş Barajı;382047
2017;4;Tahtalı Barajı;7063100
2017;4;Balçova Barajı;0
2017;4;Ürkmez Barajı;68094
2017;4;Güzelhisar Barajı;175456
2017;4;Sarıkız Kuyuları;1967404
2017;4;Göksu Kuyuları;4403792
2017;3;Göksu Kuyuları;4158752
2017;3;Sarıkız Kuyuları;2034248
2017;3;Güzelhisar Barajı;180431
2017;3;Ürkmez Barajı;52855
2017;3;Balçova Barajı;0
2017;3;Tahtalı Barajı;7451000
2017;3;Alaçatı Kutlu Aktaş Barajı;322238
2017;3;Gördes Barajı;0
2017;3;Buca ve Sarnıç Kuyuları;0
2017;3;Pınarbaşı Kuyuları;128606
2017;3;Halkapınar Kuyuları;2289600
2017;3;Menemen - Çavuşköy Kuyuları;1319860
2017;3;Ödemiş İçme Suyu Arıtma Tesisleri;424954
2017;2;Ödemiş İçme Suyu Arıtma Tesisleri;387831
2017;2;Menemen - Çavuşköy Kuyuları;1239006
2017;2;Halkapınar Kuyuları;2052480
2017;2;Pınarbaşı Kuyuları;116705
2017;2;Buca ve Sarnıç Kuyuları;0
2017;2;Gördes Barajı;0
2017;2;Alaçatı Kutlu Aktaş Barajı;258524
2017;2;Tahtalı Barajı;6746300
2017;2;Balçova Barajı;0
2017;2;Ürkmez Barajı;46814
2017;2;Güzelhisar Barajı;163076
2017;2;Sarıkız Kuyuları;1797068
2017;2;Göksu Kuyuları;3762928
2017;1;Göksu Kuyuları;3195336
2017;1;Sarıkız Kuyuları;3035164
2017;1;Menemen - Çavuşköy Kuyuları;1449736
2017;1;Güzelhisar Barajı;180411
2017;1;Ürkmez Barajı;50621
2017;1;Tahtalı Barajı;6927500
2017;1;Balçova Barajı;0
2017;1;Alaçatı Kutlu Aktaş Barajı;286751
2017;1;Buca ve Sarnıç Kuyuları;0
2017;1;Gördes Barajı;0
2017;1;Pınarbaşı Kuyuları;132483
2017;1;Halkapınar Kuyuları;2867392
2017;1;Ödemiş İçme Suyu Arıtma Tesisleri;328530
2016;12;Ödemiş İçme Suyu Arıtma Tesisleri;100384
2016;12;Alaçatı Kutlu Aktaş Barajı;258560
